formula,name,category,information,Reference,Hydrogen_storage,optimum_Hydrogen_storage,method,image
[Cu6O(TZI)3(H2O)9(NO3)]n.(H2O)15,[Cu6O(TZI)3(H2O)9(NO3)]n.(H2O)15,"Porous material, physical forces, single-crystal","Cubic, (Fm-3m) a = 44.358(8) ?, alpha = 90 deg. b = 44.358(8) ?, beta = 90 deg. c = 44.358(8) ?, gamma = 90 deg.","1. J. Am. Chem. Soc. 2008, 130, 1833-1835.","77K, 1 atm: 2.4%",2.4,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00050g1.png']
Cu3[(Cu2.9Mn1.1Cl)3(BTT)8]2.2CuCl2,Cu3[(Cu2.9Mn1.1Cl)3(BTT)8]2.2CuCl2,"Porous material, physical forces, single-crystal",,"1. J. Am. Chem. Soc. 2007, 129, 11172-11176.","77K, 1.2 bar: 2.02%",2.02,????,[]
HCu[(Cu4Cl)3(btt)8].3.5HCl,HCu[(Cu4Cl)3(btt)8].3.5HCl,"Porous material, physical forces, single-crystal","Cubic, (Pm-3m) a = 18.595(7) ?, alpha = 90 deg. b = 18.595(7) ?, beta = 90 deg. c = 18.595(7) ?, gamma = 90 deg.","1. Angew. Chem. Int. Ed. 2007, 46, 1419-1422.","77K, 1.2 bar: 2.42%; 77K, 30 bar: 4.2%; 77K, 90 bar: 5.7%. (absolute hydrogen uptake)",5.7,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00049g1.png']
Cu(tptc),Cu(tptc),"Porous material, physical forces, single-crystal","Trigonal (R3-m) a = 18.629(1) ?, alpha = 90 deg. b = 18.629(1) ?, beta = 90 deg. c = 38.492(2) ?, gamma = 90 deg.","1. Angew. Chem. Int. Ed. 2006, 45, 7358-7364.","77K, 1 atm: 2.52%; 77K, 20 bar:6.06%.",6.06,Solvothermal,"['http://www.hydrsm.csdb.cn/chuqing/00046g1.png', 'http://www.hydrsm.csdb.cn/chuqing/00046g2.png']"
Cu2(D2-tcppda),Cu2(D2-tcppda),"Porous material, physical forces, single-crystal","Orthorhombic, (Cccm) a = 15.2563(12) ?, alpha = 90 deg. b = 28.288(2) ?, beta = 90 deg. c = 23.5937(18) ?, gamma = 90 deg.","1. Chem. Commun., 2005, 5447-5449.","77K, 1 atm: 1.4%",1.4,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00043g1.png']
[Cu2(detkb)(H2O)2].(DMF)13,[Cu2(detkb)(H2O)2].(DMF)13,"Porous material, physical forces, single-crystal","Monoclinic, (C2/c) a = 41.483(7) ?, alpha = 90 deg. b = 41.783(7) ?, beta = 109.895(11) deg. c = 30.968(7) ?, gamma = 90 deg.","1. Inorg. Chem. 2008, 47, 3955-3957","77K, 1 atm: 0.8%",0.8,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00044g1.png']
Cu3[(Cu4Cl)3(tpb-3tz)8]211CuCl2.8H2O.120DMF,Cu3[(Cu4Cl)3(tpb-3tz)8]211CuCl2.8H2O.120DMF,"Porous material, physical forces, single-crystal","Cubic, (Pm-3m) a = 29.030(4) ?, alpha = 90 deg. b = 29.030(4) ?, beta = 90 deg. c = 29.030(4) ?, gamma = 90 deg.","1. Inorg. Chem. 2008, 47, 11-13","77K, 30 bar: 2.8%; 298K, 65 bar: 0.5%.",2.8,Solvothermal,['http://www.hydrsm.csdb.cn/chuqing/00048g1.png']
Cu(qptc),Cu(qptc),"Porous material, physical forces, single-crystal","Trigonal (R3-m) a = 18.434(1) ?, alpha = 90 deg. b = 18.434(1) ?, beta = 90 deg. c = 52.364(3) ?, gamma = 90 deg.","1. Angew. Chem. Int. Ed. 2006, 45, 7358-7364.","77K, 1 atm: 2.24%; 77K, 20 bar:6.07%.",6.07,Solvothermal,"['http://www.hydrsm.csdb.cn/chuqing/00045g1.png', 'http://www.hydrsm.csdb.cn/chuqing/00045g2.png']"
"[Zn2(1,4-bdc)2-(dabco)]","[Zn2(1,4-bdc)2-(dabco)]","Porous material, physical forces, single-crystal","Tetragonal, (P4/mmm) a = 7.7911(1) ?, alpha = 90 deg. b = 9.2984(1) ?, beta = 90 deg. c = 10.6284(1) ?, gamma = 90 deg.","1. Chem. Eur. J. 2005, 11, 3528-3529.","77K, 1 bar: 2.01%.",2.01,Solovthermal,['http://www.hydrsm.csdb.cn/chuqing/00139g1.png']
"[Zn2(1,4-bdc)(tmbdc)-(dabco)]","[Zn2(1,4-bdc)(tmbdc)-(dabco)]","Porous material, physical forces, single-crystal","Tetragonal, (P4/mmm) a = 10.895(1) ?, alpha = 90 deg. b = 10.895(1) ?, beta = 90 deg. c = 9.569(1) ?, gamma = 90 deg.","1. Chem. Eur. J. 2005, 11, 3528-3529.","77K, 1 bar: 2.08%.",2.08,Solovthermal,['http://www.hydrsm.csdb.cn/chuqing/00140g1.png']
